唐山,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
宁夏吴忠,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
团风,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
北京,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
东莞,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
临沂,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
大庆,经营,临潼,乳制品,整装,陕西省产品质量监督检验研究院,合格
宁夏银川,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,临潼,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,临潼,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,新城,乳制品,整装,陕西省产品质量监督检验研究院,合格
北京,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
廊坊,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
吉林,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
呼和浩特,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
德州,经营,碑林,豆制品,整装,陕西省产品质量监督检验研究院,合格
安阳,经营,碑林,豆制品,整装,陕西省产品质量监督检验研究院,合格
彭州,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
长沙,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
彭州,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,肉制品,整装,陕西省产品质量监督检验研究院,合格
邯郸,经营,临潼,肉制品,整装,陕西省产品质量监督检验研究院,合格
礼泉,经营,临潼,糕点,整装,陕西省产品质量监督检验研究院,合格
眉山,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
眉山,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
绵阳,经营,雁塔,肉制品,整装,陕西省产品质量监督检验研究院,合格
北京,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
成都,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
银川,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
渭南,生产,渭南市,特殊膳食食品,整装,陕西省产品质量监督检验研究院,Whether_qualified是否合格
